MariaDB 1 entry,Try 1 indexed,Try 2 indexed,Try 3 indexed,Avrage indexed,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2,22","2,5","2,51","2,55","1,4","2,52","2,56","2,57","2,59","2,61",,,,,,,,,,,,,,,,
,"1,9","0,49","3,29","8,56","8,56","8,61","8,78","7,78","8,81","8,87",,,,,,,,,,,,,,,,
,"8,89","8,56","8,84","8,58","8,86","8,76","8,68","8,78","5,54","8,11",,,,,,,,,,,,,,,,
,"6,47","6,38","6,29","6,24","6,35","6,34","6,25","6,34","6,31","6,07",,,,,,,,,,,,,,,,
,"1,44","1,22","1,27","1,39","1,46","1,31","1,43","1,21","1,25","1,22",,,,,,,,,,,,,,,,
,"0,58","0,69","0,55","0,6","0,64","0,58","0,68","0,6","0,55","0,61",,,,,,,,,,,,,,,,
,"1,39","1,39","1,22","1,22","1,1","1,09","1,13","1,18","1,1","1,09",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2,403","6,565","8,36","6,304","1,32","0,608","1,191",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
PostgreSQL10000 entries,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"14,34","13,14","13,63","2,66","13,73","12,32","13,73","13,7","13,23","13,66",,,,,,,,,,,,,,,,
,"11,47","11,45","11,49","11,11","11,45","11,38","11,36","11,19","11,57","11,08",,,,,,,,,,,,,,,,
,"11,21","11,3","11,11","9,41","11,56","11,08","11,35","11,68","11,52","11,1",,,,,,,,,,,,,,,,
,"7,65","7,32","7,52","7,62","7,23","7,45","7,5","7,82","7,67","7,72",,,,,,,,,,,,,,,,
,"1,61","1,3","1,23","1,3","1,35","1,25","1,29","1,16","1,26",,,,,,,,,,,,,,,,,
,"0,7","1,42","1,7","1,12","1,11","1,38","1,56","1,7","1,03","1,37",,,,,,,,,,,,,,,,
,"2,25","1,82","2,18","1,88","1,67",2,"1,61","2,41","1,13","2,03",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"12,414","11,355","11,132","7,55","1,306","1,309","1,898",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
PostgreSQL100000 entries,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"65,81","100,21","99,28","100,1","100,41","99,83","99,59","99,92","100,33","100,59",,,,,,,,,,,,,,,,
,"99,51","99,82","99,71","105,15","99,21","102,13","98,68","98,41","98,69","98,75",,,,,,,,,,,,,,,,
,"94,5","92,88","94,3","94,79","91,28","92,52","92,65","93,08","95,09","90,24",,,,,,,,,,,,,,,,
,"99,79","100,29","99,11","99,86","100,27","99,39","99,8","99,04","99,74","99,82",,,,,,,,,,,,,,,,
,"2,37","2,37","2,07","2,37","2,35","2,55","2,18","2,42","2,39","2,8",,,,,,,,,,,,,,,,
,"2,07","2,41","2,16","2,47","2,39","2,47","1,95","2,35","2,47","2,39",,,,,,,,,,,,,,,,
,"1,74","1,93","1,75","1,74","2,2","2,08","2,37","1,82","2,13","1,99",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"96,607","100,006","93,133","99,711","2,387","2,313","1,975",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Post gres no index,Try 1 no index ,Try 2 no index ,Try 3 no index ,Avrage no index,,,,,,,,,,,,,,,,,,,,,,
,"1,05","1,15","0,88","1,07","1,07","1,06","0,92","0,95","1,16","1,04",,,,Försök 1,Försök 2,Försök 3,,1,1000,10000,100000,,,,,
,"1,84","1,66","1,87","0,89","1,5","1,88","0,67","1,44","1,2","1,99",,,1,"1,63","1,86","1,77",,"1,753","1,753","1,92","1,997",,,,,
,"1,75","2,17","2,17","1,61","1,84","1,83","2,03",2,"1,36","1,66",,,1000,"1,55","1,74","1,97",,,,,,,,,,
,"1,89","1,61","1,5","1,36","1,73","1,76","1,5","1,66","1,51","1,75",,,10000,"1,86","2,2","1,7",,,,,,,,,,
,"2,34","2,2","1,7","2,28","1,98","2,3","2,29","2,55","2,3","2,24",,,100000,"2,18","1,96","1,85",,,,,,,,,,
,"1,35","1,17","0,5","1,11","1,31","1,09","1,61","1,45","1,34","1,35",,,,,,,,,,,,,,,,
,"1,82","1,75","1,96","1,87","1,57","1,64","1,69","1,73","1,77","2,1",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,035","1,464","84,998","834,844","8335,363","1,228","1,79",,,,,,,,,,,1,1000,10000,100000,,,,,
,,,,,,,,,,,,,,"1,89","1,09","0,84",,"1,273","0,937","0,927","0,993",,,,,
,,,,,,,,,,,,,,"1,05","0,84","0,92",,,,,,,,,,
,,,,,,,,,,,,,,"0,96","0,82",1,,,,,,,,,,
,,,,,,,,,,,,,,"0,98","1,12","0,88",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3,86","4,02","3,96","3,83","3,77","3,83","3,91","3,56","3,96","3,82",,,,,,,,,,,,,,,,
,"11,19","10,82","10,76","10,89","6,44","11,04","10,26",10.39,"10,6","11,11",,,,,,,,,,,,,,,,
,"10,74","11,08","10,08","10,11","11,02","10,58","10,85","11,01","2,09","11,09",,,,,,,,,,,,,,,,
,"6,92","6,9","6,92","6,58","6,62","6,94","1,94","6,99","7,01","6,85",,,,,,,,,,,,,,,,
,"2,55","2,02","2,38","2,34","2,32","1,25","2,57","2,49","2,58","2,55",,,,,,,,,,,,,,,,
,"1,47","1,56","1,67","1,61","1,5","1,23","1,53","1,1","1,32","1,23",,,,,,,,,,,,,,,,
,"2,1","1,86","1,84","1,86","1,95","2,13","1,94","2,06","1,91","2,15",,,,,,,,,,,,,"50,66","47,67","51,16",
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3,852","9,355","9,865","6,367","2,305","1,422","1,98",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"13,41","13,53","11,54","13,62","13,47","13,27","6,98","13,54","13,55","13,52",,,,,,,,,,,,,,,,
,"71,48","74,8","47,8","49,73","57,72","76,17","61,05","50,67","42,99","73,09",,,,,,,,,,,,,,,,
,"58,1","47,45","65,56","72,24","49,59","37,77","51,73","78,71","76,35","42,56",,,,,,,,,,,,,,,,
,"25,8","39,9","40,2","50,88","33,93","48,66","28,52","49,38","31,23","31,19",,,,,,,,,,,,,,,,
5,"2,52","2,55","2,5","2,59","2,53","2,91","3,01","2,14","2,53","2,44",,,,,,,,,,,,,,,,
,"1,46","1,59","1,16","1,46","1,59","1,39","1,61","1,4","1,45","1,78",,,,,,,,,,,,,,,,
,"2,17","2,19","2,1","1,75","2,14","1,81","2,2","1,98","1,15","2,11",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"12,643","60,55","58,006","37,969","2,572","1,489","1,96",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"79,49","100,25","64,69","90,43","76,46","93,54","71,54","100,4","85,11","89,56",,,,,,,,,,,,,,,,
,"93,45","99,89","98,93","98,91","98,65","99,39","100,29","100,01","99,89","99,81",,,,,,,,,,,,,,,,
,"99,15","98,97","99,77","99,36","100,08","99,44","99,2","99,24","99,21","99,51",,,,,,,,,,,,,,,,
